iter	Passed	Remaining
0	49	49933
1	52	26289
2	54	18003
3	55	13856
4	56	11342
5	58	9667
6	59	8464
7	61	7567
8	62	6872
9	63	6311
10	65	5852
11	68	5599
12	69	5270
13	70	4988
14	72	4740
15	73	4521
16	74	4331
17	76	4157
18	77	4009
19	79	3882
20	80	3758
21	83	3715
22	85	3614
23	86	3522
24	88	3433
25	89	3350
26	90	3273
27	92	3204
28	93	3140
29	95	3078
30	99	3108
31	101	3069
32	103	3022
33	104	2972
34	106	2924
35	107	2878
36	108	2836
37	110	2797
38	114	2812
39	116	2785
40	118	2761
41	120	2739
42	122	2718
43	124	2695
44	128	2718
45	134	2788
46	136	2766
47	157	3117
48	161	3134
49	164	3128
50	166	3101
51	168	3076
52	170	3053
53	172	3025
54	177	3051
55	179	3024
56	181	2999
57	183	2974
58	185	2963
59	187	2942
60	193	2984
61	195	2961
62	197	2940
63	199	2924
64	201	2904
65	207	2935
66	209	2917
67	211	2896
68	214	2898
69	216	2878
70	218	2862
71	223	2874
72	225	2861
73	228	2854
74	231	2852
75	233	2836
76	236	2837
77	239	2826
78	240	2808
79	245	2821
80	249	2825
81	252	2827
82	253	2801
83	255	2786
84	257	2769
85	259	2753
86	261	2740
87	263	2727
88	264	2710
89	269	2722
90	270	2704
91	272	2687
92	273	2669
93	275	2652
94	276	2636
95	278	2620
96	279	2604
97	284	2616
98	285	2599
99	287	2584
100	288	2570
101	290	2555
102	291	2540
103	293	2526
104	294	2511
105	298	2517
106	300	2507
107	302	2494
108	303	2480
109	305	2468
110	306	2455
111	308	2442
112	309	2430
113	313	2434
114	314	2422
115	316	2409
116	317	2394
117	318	2381
118	319	2368
119	321	2355
120	322	2343
121	323	2330
122	325	2320
123	329	2325
124	330	2314
125	331	2302
126	333	2289
127	334	2278
128	335	2267
129	337	2256
130	338	2246
131	339	2235
132	342	2233
133	344	2223
134	345	2213
135	346	2203
136	348	2196
137	350	2186
138	351	2176
139	352	2167
140	354	2158
141	355	2146
142	357	2145
143	359	2136
144	360	2128
145	362	2119
146	363	2110
147	365	2101
148	366	2093
149	368	2086
150	370	2080
151	373	2083
152	375	2076
153	376	2068
154	380	2074
155	382	2069
156	383	2060
157	385	2052
158	388	2053
159	390	2047
160	391	2040
161	393	2035
162	395	2029
163	396	2022
164	398	2016
165	400	2010
166	402	2009
167	407	2020
168	410	2017
169	412	2014
170	414	2011
171	418	2013
172	420	2010
173	422	2005
174	424	2000
175	426	1995
176	427	1989
177	429	1984
178	433	1986
179	435	1981
180	437	1977
181	442	1987
182	443	1982
183	445	1975
184	449	1980
185	451	1975
186	453	1971
187	455	1965
188	456	1960
189	458	1954
190	460	1948
191	461	1942
192	465	1946
193	468	1944
194	470	1940
195	472	1936
196	473	1931
197	476	1930
198	483	1944
199	485	1940
200	487	1936
201	489	1931
202	490	1927
203	497	1941
204	500	1939
205	501	1934
206	503	1928
207	504	1921
208	506	1915
209	507	1909
210	512	1915
211	514	1911
212	516	1906
213	517	1900
214	518	1894
215	520	1889
216	521	1883
217	523	1876
218	528	1884
219	530	1880
220	532	1875
221	533	1870
222	535	1864
223	536	1858
224	538	1853
225	541	1856
226	544	1852
227	546	1849
228	547	1844
229	549	1839
230	550	1834
231	552	1828
232	553	1823
233	556	1821
234	558	1817
235	560	1812
236	562	1811
237	564	1807
238	565	1802
239	567	1796
240	571	1801
241	573	1796
242	575	1791
243	576	1786
244	578	1781
245	579	1776
246	580	1770
247	582	1765
248	586	1769
249	588	1765
250	589	1760
251	591	1755
252	592	1750
253	594	1745
254	606	1771
255	614	1784
256	619	1790
257	622	1790
258	624	1787
259	626	1784
260	628	1780
261	633	1784
262	637	1785
263	638	1781
264	641	1778
265	643	1774
266	644	1770
267	649	1773
268	651	1771
269	653	1767
270	655	1763
271	657	1759
272	659	1756
273	662	1755
274	664	1752
275	667	1752
276	669	1748
277	671	1743
278	672	1737
279	673	1732
280	675	1727
281	678	1726
282	680	1723
283	681	1718
284	683	1715
285	685	1711
286	687	1708
287	688	1703
288	690	1698
289	694	1699
290	695	1695
291	697	1690
292	699	1687
293	700	1682
294	702	1679
295	704	1675
296	708	1676
297	710	1674
298	713	1672
299	715	1668
300	716	1664
301	718	1659
302	719	1655
303	721	1651
304	722	1646
305	724	1642
306	725	1638
307	729	1640
308	731	1636
309	733	1632
310	734	1628
311	736	1623
312	737	1618
313	739	1615
314	740	1611
315	746	1615
316	748	1611
317	749	1607
318	751	1603
319	753	1600
320	754	1596
321	756	1592
322	761	1596
323	764	1596
324	766	1591
325	768	1588
326	769	1584
327	773	1584
328	776	1583
329	777	1579
330	779	1574
331	780	1571
332	782	1567
333	783	1563
334	785	1559
335	789	1561
336	792	1558
337	793	1554
338	795	1550
339	796	1546
340	798	1542
341	799	1538
342	801	1535
343	805	1535
344	806	1531
345	808	1528
346	809	1523
347	811	1519
348	812	1515
349	814	1512
350	815	1508
351	820	1511
352	822	1507
353	824	1503
354	825	1499
355	827	1496
356	828	1492
357	830	1488
358	832	1486
359	835	1485
360	837	1481
361	838	1477
362	840	1474
363	841	1470
364	843	1466
365	844	1463
366	846	1459
367	850	1460
368	852	1457
369	854	1454
370	855	1450
371	857	1447
372	858	1443
373	860	1439
374	861	1435
375	865	1435
